"Region_Country_Area_Code","Region_Country_Area_Name","Year","Cur_health_exp","dom_gen_govern_health_exp","pop_annl_increase","tot_fertil_rate","infant_mortal","maternal_mortal","life_expect_both_sexes","life_expect_males","life_expec_females"
68,"Bolivia (Plurin. State of)",2005,4.9628,8.56,1.8,3.8,61.2,305.0,62.1,60.1,64.3
68,"Bolivia (Plurin. State of)",2010,5.097,9.8963,1.7,3.4,51.0,253.0,64.9,62.7,67.3
68,"Bolivia (Plurin. State of)",2015,6.4224,9.8013,1.6,3.0,42.9,206.0,67.7,65.3,70.2
70,"Bosnia and Herzegovina",2005,9.0522,10.8101,0.1,1.3,9.9,14.0,74.8,72.0,77.5
70,"Bosnia and Herzegovina",2010,9.0189,12.4021,-0.3,1.3,9.0,13.0,75.5,72.9,78.1
70,"Bosnia and Herzegovina",2015,9.348,15.2337,-1.0,1.3,7.6,11.0,76.3,73.7,78.8
72,"Botswana",2005,5.2628,10.4823,1.4,3.2,65.4,276.0,49.2,47.3,51.0
72,"Botswana",2010,6.0187,7.9497,1.6,2.9,46.5,169.0,56.5,54.4,58.5
72,"Botswana",2015,5.9651,8.8234,1.8,2.9,35.2,129.0,62.9,59.8,66.1
76,"Brazil",2005,8.2511,8.9273,1.3,2.1,28.2,67.0,71.1,67.3,75.0
76,"Brazil",2010,9.7235,8.8349,1.0,1.9,20.4,65.0,72.9,69.2,76.7
76,"Brazil",2015,11.4647,9.8956,0.9,1.8,15.8,44.0,74.7,71.0,78.4
84,"Belize",2005,4.2167,8.5896,2.7,3.4,19.7,52.0,68.5,65.7,71.6
84,"Belize",2010,5.7649,13.0378,2.5,2.8,17.0,37.0,69.6,67.0,72.4
84,"Belize",2015,5.8842,11.4447,2.2,2.6,14.3,28.0,69.8,67.2,72.7
90,"Solomon Islands",2005,10.1419,19.9525,2.6,4.6,49.9,164.0,64.7,63.5,66.0
90,"Solomon Islands",2010,7.2579,7.5489,2.3,4.4,38.7,136.0,67.4,66.1,68.8
90,"Solomon Islands",2015,5.2487,7.2694,2.1,4.1,30.0,114.0,69.6,68.3,71.1
92,"British Virgin Islands",2005,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0
92,"British Virgin Islands",2010,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0
92,"British Virgin Islands",2015,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
96,"Brunei Darussalam",2005,2.2297,6.4329,1.8,2.0,8.2,30.0,75.7,74.2,77.5
96,"Brunei Darussalam",2010,2.2783,5.7768,1.2,1.8,6.5,27.0,76.7,75.1,78.4
96,"Brunei Darussalam",2015,2.3871,5.8657,1.4,1.9,6.5,23.0,76.7,75.1,78.4
100,"Bulgaria",2005,6.9442,11.1699,-0.8,1.2,12.7,15.0,72.2,68.8,75.8
100,"Bulgaria",2010,7.1058,10.8521,-0.7,1.5,9.5,11.0,73.1,69.7,76.7
100,"Bulgaria",2015,8.2031,10.2528,-0.6,1.5,8.3,11.0,74.3,70.8,77.8
104,"Myanmar",2005,2.013,1.1018,1.0,2.9,57.9,248.0,62.9,60.9,65.0
104,"Myanmar",2010,1.856,1.2209,0.7,2.6,52.2,205.0,64.3,62.2,66.3
104,"Myanmar",2015,5.1936,4.9218,0.9,2.3,45.0,178.0,66.0,63.7,68.3
108,"Burundi",2005,8.4237,6.2375,3.0,6.9,94.6,863.0,52.0,50.3,53.7
108,"Burundi",2010,11.2764,4.8607,3.3,6.5,86.2,808.0,53.7,52.0,55.4
108,"Burundi",2015,6.6093,9.1975,3.0,6.0,77.9,712.0,56.1,54.2,58.0
112,"Belarus",2005,6.2765,10.0517,-0.6,1.3,9.6,13.0,67.8,62.3,73.7
112,"Belarus",2010,5.6569,8.6853,-0.3,1.4,6.3,5.0,69.3,63.6,75.2
112,"Belarus",2015,6.0653,8.4813,0.0,1.6,3.6,4.0,72.1,66.5,77.7
116,"Cambodia",2005,6.8528,9.8632,1.8,3.4,65.9,315.0,60.8,58.5,63.0
116,"Cambodia",2010,6.9117,6.8481,1.5,3.1,45.0,202.0,65.1,62.7,67.4
116,"Cambodia",2015,6.1715,6.582,1.6,2.7,29.9,161.0,67.6,65.5,69.6
120,"Cameroon",2005,4.1421,5.2475,2.6,5.5,88.5,729.0,51.5,50.6,52.3
120,"Cameroon",2010,4.5039,5.0882,2.7,5.3,77.2,676.0,54.4,53.4,55.4
120,"Cameroon",2015,4.6995,3.2514,2.7,5.0,67.5,596.0,56.4,55.1,57.7
124,"Canada",2005,9.0644,17.1337,1.0,1.5,5.3,9.0,79.7,77.2,82.1
124,"Canada",2010,10.5558,17.8613,1.1,1.6,5.1,8.0,80.8,78.4,83.0
124,"Canada",2015,10.3765,19.1615,1.0,1.6,4.7,7.0,81.8,79.7,83.8
132,"Cabo Verde",2005,4.2736,8.8043,1.7,3.4,25.0,54.0,71.3,69.5,72.8
132,"Cabo Verde",2010,4.4756,7.2294,1.1,2.9,23.5,51.0,71.8,69.9,73.4
132,"Cabo Verde",2015,5.3404,10.0195,1.2,2.5,22.5,42.0,72.2,70.1,74.0
140,"Central African Republic",2005,4.7629,10.1002,1.9,5.5,113.4,0.0,43.7,42.5,44.9
140,"Central African Republic",2010,3.742,6.0146,1.5,5.3,105.9,909.0,46.0,44.6,47.4
140,"Central African Republic",2015,6.309,4.3035,0.4,5.1,93.5,882.0,49.4,47.8,51.0
144,"Sri Lanka",2005,4.0097,10.1359,0.8,2.3,13.1,43.0,73.2,69.6,77.1
144,"Sri Lanka",2010,3.8675,7.8348,0.7,2.3,10.1,35.0,74.1,70.6,77.7
144,"Sri Lanka",2015,3.8899,8.3953,0.5,2.1,8.2,30.0,74.6,71.2,78.0
148,"Chad",2005,4.8411,12.4246,3.8,7.2,110.8,0.0,47.7,46.8,48.5
148,"Chad",2010,4.0602,3.4975,3.3,6.9,105.2,0.0,48.9,48.1,49.7
148,"Chad",2015,4.5462,5.8236,3.3,6.3,91.2,856.0,51.7,50.5,52.8
152,"Chile",2005,6.5887,17.3138,1.1,2.0,8.4,27.0,77.4,74.3,80.3
152,"Chile",2010,6.7749,17.1445,1.0,1.9,7.8,26.0,78.1,75.3,80.8
152,"Chile",2015,8.3,19.603,0.9,1.8,7.4,22.0,78.8,76.2,81.3
156,"China",2005,4.1422,7.4888,0.6,1.6,25.3,48.0,73.1,71.7,74.7
156,"China",2010,4.208,8.7509,0.6,1.6,16.7,35.0,74.7,73.2,76.3
156,"China",2015,4.8887,9.3933,0.5,1.6,11.6,27.0,75.7,74.2,77.2
158,"Other non-specified areas",2005,0.0,0.0,0.7,1.3,6.1,0.0,76.9,74.2,80.0
158,"Other non-specified areas",2010,0.0,0.0,0.4,1.1,5.2,0.0,78.2,75.2,81.5
158,"Other non-specified areas",2015,0.0,0.0,0.3,1.1,4.2,0.0,79.2,76.4,82.3
170,"Colombia",2005,5.528,15.5428,1.4,2.3,20.5,80.0,71.7,68.0,75.4
170,"Colombia",2010,6.2559,14.9961,1.2,2.1,19.0,72.0,72.9,69.2,76.6
170,"Colombia",2015,6.0227,12.8264,1.0,1.9,17.9,64.0,73.7,70.2,77.4
174,"Comoros",2005,9.8682,6.684,2.4,5.2,72.6,436.0,59.6,58.0,61.2
174,"Comoros",2010,8.5229,3.4823,2.4,4.9,66.7,388.0,60.9,59.3,62.5
174,"Comoros",2015,7.6843,3.8073,2.4,4.6,58.1,335.0,62.8,61.2,64.5
175,"Mayotte",2005,0.0,0.0,3.4,4.8,7.6,0.0,76.5,73.0,80.6
175,"Mayotte",2010,0.0,0.0,3.2,4.6,5.6,0.0,78.0,74.5,81.9
175,"Mayotte",2015,0.0,0.0,2.8,4.1,4.2,0.0,79.3,76.0,82.9
178,"Congo",2005,1.8759,1.9532,2.8,5.1,81.1,596.0,52.1,51.1,53.1
178,"Congo",2010,1.9806,4.1904,3.3,5.0,61.0,509.0,58.0,56.7,59.2
178,"Congo",2015,3.4154,2.9254,2.6,4.9,46.5,442.0,62.5,61.0,64.1
180,"Dem. Rep. of the Congo",2005,4.2746,2.5117,3.0,6.7,99.5,787.0,51.8,50.4,53.3
180,"Dem. Rep. of the Congo",2010,4.0193,2.5117,3.3,6.6,83.9,794.0,55.5,54.0,56.9
180,"Dem. Rep. of the Congo",2015,3.9869,3.9519,3.3,6.4,73.2,693.0,58.1,56.7,59.5
184,"Cook Islands",2005,4.1707,9.6333,1.7,0.0,0.0,0.0,0.0,0.0,0.0
184,"Cook Islands",2010,3.4744,9.268,-1.2,0.0,0.0,0.0,0.0,0.0,0.0
184,"Cook Islands",2015,2.8577,5.215,-1.2,0.0,0.0,0.0,0.0,0.0,0.0
188,"Costa Rica",2005,6.6952,26.0191,1.6,2.2,10.9,31.0,77.8,75.5,80.2
188,"Costa Rica",2010,8.1134,32.0856,1.4,2.0,10.0,29.0,78.4,76.1,80.8
